order_id,order_date,customer_id,segment,category,sub_category,sales,quantity,profit
CA-2016-152156,2016-11-08,CG-12520,Consumer,Furniture,Bookcases,261.96,2,"419.136,00"
CA-2016-152156,2016-11-08,CG-12520,Consumer,Furniture,Chairs,731.94,3,"219.582,00"
CA-2016-138688,2016-06-12,DV-13045,Corporate,Office Supplies,Labels,14.62,2,"2.488.915,00"
US-2015-108966,2015-10-11,SO-20335,Consumer,Furniture,Tables,"9.575.775,00",5,"-383.031,00"
US-2015-108966,2015-10-11,SO-20335,Consumer,Office Supplies,Storage,"22.368,00",2,"1.192.184,00"
CA-2014-115812,2014-06-09,BH-11710,Consumer,Furniture,Furnishings,48.86,7,"141.694,00"
CA-2014-115812,2014-06-09,BH-11710,Consumer,Office Supplies,Art,7.28,4,"2.832.823,00"
CA-2014-115812,2014-06-09,BH-11710,Consumer,Technology,Phones,"907.152,00",6,"907.152,00"
CA-2014-115812,2014-06-09,BH-11710,Consumer,Office Supplies,Binders,"18.504,00",3,"2.164.184,00"
CA-2014-115812,2014-06-09,BH-11710,Consumer,Office Supplies,Appliances,114.9,5,34.47
CA-2014-115812,2014-06-09,BH-11710,Consumer,Furniture,Tables,"1.706.184,00",9,"853.092,00"
CA-2014-115812,2014-06-09,BH-11710,Consumer,Technology,Phones,"911.424,00",4,"683.568,00"
CA-2017-114412,2017-04-15,AA-10480,Consumer,Office Supplies,Paper,"15.552,00",3,"924.917,00"
CA-2016-161389,2016-12-05,IM-15070,Consumer,Office Supplies,Binders,"407.976,00",3,"1.325.922,00"
US-2015-118983,2015-11-22,HP-14815,Home Office,Office Supplies,Appliances,68.81,5,"-123.858,00"
US-2015-118983,2015-11-22,HP-14815,Home Office,Office Supplies,Binders,"2.544,00",3,"-3.816,00"
CA-2014-105893,2014-11-11,PK-19075,Consumer,Office Supplies,Storage,665.88,6,"133.176,00"
CA-2014-167164,2014-05-13,AG-10270,Consumer,Office Supplies,Storage,55.5,2,9.99
CA-2014-143336,2014-08-27,ZD-21925,Consumer,Office Supplies,Art,8.56,2,"1.068.002,00"
CA-2014-143336,2014-08-27,ZD-21925,Consumer,Technology,Phones,213.48,3,"16.011,00"
CA-2014-143336,2014-08-27,ZD-21925,Consumer,Office Supplies,Binders,22.72,4,"7.384,00"
CA-2016-137330,2016-12-09,KB-16585,Corporate,Office Supplies,Art,19.46,7,"-476.153,00"
CA-2016-137330,2016-12-09,KB-16585,Corporate,Office Supplies,Appliances,60.34,7,"156.884,00"
US-2017-156909,2017-07-16,SF-20065,Consumer,Furniture,Chairs,"71.372,00",2,"-10.196,00"
CA-2015-106320,2015-09-25,EB-13870,Consumer,Furniture,Tables,1044.63,3,"2.402.649,00"
CA-2016-121755,2016-01-16,EH-13945,Consumer,Office Supplies,Binders,"11.648,00",2,"118.431,00"
CA-2016-121755,2016-01-16,EH-13945,Consumer,Technology,Accessories,90.57,3,"2.133.688,00"
US-2015-150630,2015-09-17,TB-21520,Consumer,Furniture,Bookcases,3083.43,7,"-16.650.522,00"
US-2015-150630,2015-09-17,TB-21520,Consumer,Office Supplies,Binders,"9.618,00",2,"-70.532,00"
US-2015-150630,2015-09-17,TB-21520,Consumer,Furniture,Furnishings,124.2,3,"15.525,00"
US-2015-150630,2015-09-17,TB-21520,Consumer,Office Supplies,Envelopes,"3.264,00",2,"-322.873,00"
US-2015-150630,2015-09-17,TB-21520,Consumer,Office Supplies,Art,"86.304,00",6,"1.896.585,00"
US-2015-150630,2015-09-17,TB-21520,Consumer,Office Supplies,Binders,"6.858,00",6,"-5.715,00"
US-2015-150630,2015-09-17,TB-21520,Consumer,Office Supplies,Art,15.76,2,"3.546,00"
CA-2017-107727,2017-10-19,MA-17560,Home Office,Office Supplies,Paper,"29.472,00",3,"2.764.401,00"
CA-2016-117590,2016-12-08,GH-14485,Corporate,Technology,Phones,"1.097.544,00",7,"1.234.737,00"
CA-2016-117590,2016-12-08,GH-14485,Corporate,Furniture,Furnishings,190.92,5,"-147.963,00"
CA-2015-117415,2015-12-27,SN-20710,Home Office,Office Supplies,Envelopes,"113.328,00",9,"35.415,00"
CA-2015-117415,2015-12-27,SN-20710,Home Office,Furniture,Bookcases,"5.323.992,00",3,"-469.764,00"
CA-2015-117415,2015-12-27,SN-20710,Home Office,Furniture,Chairs,"212.058,00",3,"-15.147,00"
CA-2015-117415,2015-12-27,SN-20710,Home Office,Technology,Phones,"371.168,00",4,"417.564,00"
CA-2017-120999,2017-09-10,LC-16930,Corporate,Technology,Phones,"147.168,00",4,"165.564,00"
CA-2016-101343,2016-07-17,RA-19885,Corporate,Office Supplies,Storage,77.88,2,"3.894,00"
CA-2017-139619,2017-09-19,ES-14080,Corporate,Office Supplies,Storage,"95.616,00",2,"1.357.487,00"
CA-2016-118255,2016-03-11,ON-18715,Corporate,Technology,Accessories,45.98,2,"197.714,00"
CA-2016-118255,2016-03-11,ON-18715,Corporate,Office Supplies,Binders,17.46,2,"59.384,00"
CA-2014-146703,2014-10-20,PO-18865,Consumer,Office Supplies,Storage,211.96,4,"1.053.574,00"
CA-2016-169194,2016-06-20,LH-16900,Consumer,Technology,Accessories,"45,00",3,4.95
CA-2016-169194,2016-06-20,LH-16900,Consumer,Technology,Phones,"44.064,00",2,"6.104,00"
CA-2015-115742,2015-04-18,DP-13000,Consumer,Office Supplies,Binders,38.22,6,"179.634,00"
CA-2015-115742,2015-04-18,DP-13000,Consumer,Office Supplies,Labels,75.18,6,"353.346,00"
CA-2015-115742,2015-04-18,DP-13000,Consumer,Furniture,Furnishings,6.16,2,"2.800.712,00"
CA-2015-115742,2015-04-18,DP-13000,Consumer,Furniture,Chairs,89.99,1,"170.981,00"
CA-2016-105816,2016-12-11,JM-15265,Corporate,Office Supplies,Fasteners,15.26,7,"243.405,00"
CA-2016-105816,2016-12-11,JM-15265,Corporate,Technology,Phones,1029.95,5,"2.986.855,00"
CA-2016-111682,2016-06-17,TB-21055,Consumer,Office Supplies,Storage,208.56,6,52.14
CA-2016-111682,2016-06-17,TB-21055,Consumer,Office Supplies,Paper,32.4,5,"15.552,00"
CA-2016-111682,2016-06-17,TB-21055,Consumer,Furniture,Chairs,319.41,5,"7.098,00"
CA-2016-111682,2016-06-17,TB-21055,Consumer,Office Supplies,Paper,14.56,2,"2.917.711,00"
CA-2016-111682,2016-06-17,TB-21055,Consumer,Technology,Accessories,"30,00",2,"43.893,00"
CA-2016-111682,2016-06-17,TB-21055,Consumer,Office Supplies,Binders,48.48,4,"16.362,00"
CA-2016-111682,2016-06-17,TB-21055,Consumer,Office Supplies,Art,1.68,1,0.84
CA-2015-135545,2015-11-24,KM-16720,Consumer,Technology,Accessories,13.98,2,"-141.561,00"
CA-2015-135545,2015-11-24,KM-16720,Consumer,Office Supplies,Binders,"25.824,00",6,"625.541,00"
CA-2015-135545,2015-11-24,KM-16720,Consumer,Office Supplies,Paper,146.73,3,"689.631,00"
CA-2015-135545,2015-11-24,KM-16720,Consumer,Furniture,Furnishings,79.76,4,"223.328,00"
US-2015-164175,2015-04-30,PS-18970,Home Office,Furniture,Chairs,"213.115,00",5,"-152.225,00"
CA-2014-106376,2014-12-05,BS-11590,Corporate,Office Supplies,Art,"1.113.024,00",8,"1.113.024,00"
CA-2014-106376,2014-12-05,BS-11590,Corporate,Technology,Phones,"167.968,00",4,"62.988,00"
CA-2016-119823,2016-06-04,KD-16270,Consumer,Office Supplies,Paper,75.88,2,"356.636,00"
CA-2016-106075,2016-09-18,HM-14980,Consumer,Office Supplies,Binders,"4.616,00",1,"1.731,00"
CA-2017-114440,2017-09-14,TB-21520,Consumer,Office Supplies,Paper,"43.970,00",3,"8.763,00"
US-2015-134026,2015-04-26,JE-15745,Consumer,Furniture,Chairs,"831.936,00",8,"-1.143.912,00"
US-2015-134026,2015-04-26,JE-15745,Consumer,Furniture,Furnishings,97.04,2,"1.213,00"
US-2015-134026,2015-04-26,JE-15745,Consumer,Office Supplies,Storage,"72.784,00",1,"-18.196,00"
US-2017-118038,2017-12-09,KB-16600,Corporate,Office Supplies,Binders,"1.248,00",3,"-19.344,00"
US-2017-118038,2017-12-09,KB-16600,Corporate,Furniture,Furnishings,"9.708,00",3,"-58.248,00"
US-2017-118038,2017-12-09,KB-16600,Corporate,Office Supplies,Storage,27.24,3,"2.724,00"
US-2014-147606,2014-11-26,JE-15745,Consumer,Furniture,Furnishings,"43.909,00",5,"-14.475,00"
